,rhs,lhs,supp,conf,lift,conv
0,"('Apgar saudável (>7)',)","('Branca',)",0.36447038530196363,0.9910879856884176,1.0010833583702214,1.1203476969677697
1,"('Apgar saudável (>7)',)","('Casada',)",0.38530597508875386,0.9907987167717112,1.0007911721034217,1.0851263347539983
2,"('Apgar saudável (>7)',)","('Cesáreo',)",0.6225565116232424,0.9902628892291986,1.0002499406047942,1.0254124698058236
3,"('Apgar saudável (>7)',)","('Consultas: 7+',)",0.7332009547305293,0.9905913978494624,1.0005817623174735,1.0612155353903199
4,"('Apgar saudável (>7)',)","('Inicio PN: 2.0° mês',)",0.4296929217562228,0.9899449188569739,0.9999287634210471,0.9929860032618242
5,"('Apgar saudável (>7)',)","('Médio',)",0.5375854945143109,0.9899682352072099,0.9999523149225649,0.99529395282023
6,"('Apgar saudável (>7)',)","('Negra',)",0.6255450588683635,0.9893916033779369,0.9993698676156381,0.9411935888326007
7,"('Apgar saudável (>7)',)","('Ocupação: 0',)",0.9900154441703272,0.9900154441703272,1.0,0.9999998998453294
8,"('Ocupação: 0',)","('Apgar saudável (>7)',)",0.9900154441703272,1.0,1.0,0.0
9,"('Apgar saudável (>7)',)","('Peso saudável (>2500)',)",0.6734500671921696,0.9905477245505449,1.0005376485623048,1.0563122950396113
10,"('Apgar saudável (>7)',)","('Risco: Peso baixo (<2500)',)",0.3165653769781575,0.988884990351119,0.9988581452684756,0.8982947605792907
11,"('Apgar saudável (>7)',)","('Risco: Prematuro (<37)',)",0.2772007942716168,0.990581860405109,1.0005721286855849,1.0601408769676977
12,"('Apgar saudável (>7)',)","('Sem anomalias',)",0.9900154441703272,0.9900154441703272,1.0,0.9999998998453294
13,"('Sem anomalias',)","('Apgar saudável (>7)',)",0.9900154441703272,1.0,1.0,0.0
14,"('Apgar saudável (>7)',)","('Semana de gestação saudável (>37)',)",0.5621798343261728,0.9906059149513685,1.0005964258280193,1.062855479286074
15,"('Apgar saudável (>7)',)","('Solteira',)",0.6035421304932106,0.9895359926337597,0.9995157130735781,0.9541807957537268
16,"('Apgar saudável (>7)',)","('Vaginal',)",0.36745893254708467,0.9895964997569275,0.999576830426367,0.9597303442743765
17,"('Consultas: 7+',)","('Branca',)",0.29502777944922476,0.8022558195344373,1.0838879962964043,1.3139963286993972
18,"('Ocupação: 0',)","('Branca',)",0.36774775858956615,1.0,1.0,0.0
19,"('Sem anomalias',)","('Branca',)",0.36774775858956615,1.0,1.0,0.0
20,"('Consultas: 7+',)","('Casada',)",0.3236576609102032,0.8322725725426281,1.1244421405994682,1.5491510891043931
21,"('Ocupação: 0',)","('Casada',)",0.3888842088372746,1.0,1.0,0.0
22,"('Sem anomalias',)","('Casada',)",0.3888842088372746,1.0,1.0,0.0
23,"('Consultas: 7+',)","('Cesáreo',)",0.49605872796197126,0.7890505359877489,1.0660469934947645,1.231741111324111
24,"('Ocupação: 0',)","('Cesáreo',)",0.6286780191347253,1.0,1.0,0.0
25,"('Sem anomalias',)","('Cesáreo',)",0.6286780191347253,1.0,1.0,0.0
26,"('Consultas: 7+',)","('Inicio PN: 2.0° mês',)",0.3586938644523337,0.826374256034897,1.1164732180869499,1.4965241964527844
27,"('Ocupação: 0',)","('Consultas: 7+',)",0.7401648715325831,1.0,1.0,0.0
28,"('Sem anomalias',)","('Consultas: 7+',)",0.7401648715325831,1.0,1.0,0.0
29,"('Consultas: 7+',)","('Semana de gestação saudável (>37)',)",0.4368213089435786,0.7697141483827188,1.0399225604816276,1.1283156369108112
30,"('Ocupação: 0',)","('Inicio PN: 2.0° mês',)",0.4340574041759432,1.0,1.0,0.0
31,"('Sem anomalias',)","('Inicio PN: 2.0° mês',)",0.4340574041759432,1.0,1.0,0.0
32,"('Ocupação: 0',)","('Médio',)",0.5430330745933369,1.0,1.0,0.0
33,"('Sem anomalias',)","('Médio',)",0.5430330745933369,1.0,1.0,0.0
34,"('Ocupação: 0',)","('Negra',)",0.6322522414104338,1.0,1.0,0.0
35,"('Sem anomalias',)","('Negra',)",0.6322522414104338,1.0,1.0,0.0
36,"('Ocupação: 0',)","('Peso saudável (>2500)',)",0.6798764466373829,1.0,1.0,0.0
37,"('Ocupação: 0',)","('Risco: Peso baixo (<2500)',)",0.3201235533626171,1.0,1.0,0.0
38,"('Ocupação: 0',)","('Risco: Prematuro (<37)',)",0.2798363319092605,1.0,1.0,0.0
39,"('Ocupação: 0',)","('Sem anomalias',)",1.0,1.0,1.0,0.0
40,"('Sem anomalias',)","('Ocupação: 0',)",1.0,1.0,1.0,0.0
41,"('Ocupação: 0',)","('Semana de gestação saudável (>37)',)",0.5675110816936438,1.0,1.0,0.0
42,"('Ocupação: 0',)","('Solteira',)",0.6099243837374893,1.0,1.0,0.0
43,"('Ocupação: 0',)","('Vaginal',)",0.3713219808652747,1.0,1.0,0.0
44,"('Sem anomalias',)","('Peso saudável (>2500)',)",0.6798764466373829,1.0,1.0,0.0
45,"('Sem anomalias',)","('Risco: Peso baixo (<2500)',)",0.3201235533626171,1.0,1.0,0.0
46,"('Sem anomalias',)","('Risco: Prematuro (<37)',)",0.2798363319092605,1.0,1.0,0.0
47,"('Sem anomalias',)","('Semana de gestação saudável (>37)',)",0.5675110816936438,1.0,1.0,0.0
48,"('Sem anomalias',)","('Solteira',)",0.6099243837374893,1.0,1.0,0.0
49,"('Sem anomalias',)","('Vaginal',)",0.3713219808652747,1.0,1.0,0.0
50,"('Apgar saudável (>7)',)","('Branca', 'Cesáreo')",0.2540545961449746,0.9917940365823102,1.0017965299657254,1.216743739242756
51,"('Apgar saudável (>7)',)","('Branca', 'Consultas: 7+')",0.2924925286318872,0.9914067386397629,1.001405326025597,1.1619051544234908
