,rhs,lhs,supp,conf,lift,conv
0,"('Apgar saudável (>7)',)","('Branca',)",0.3432633349612024,0.9592115238817286,0.9992261134823569,0.9817866016233878
1,"('Apgar saudável (>7)',)","('Casada',)",0.30669054208041674,0.9607343192248853,1.0008124339492064,1.0198620913981062
2,"('Apgar saudável (>7)',)","('Cesáreo',)",0.6315589559932715,0.9565253122945431,0.9964278435518701,0.9211240270551838
3,"('Apgar saudável (>7)',)","('Consultas: 7+',)",0.7699278311357101,0.9610539149282037,1.0011453619474233,1.0282311876350758
4,"('Consultas: 7+',)","('Apgar saudável (>7)',)",0.7699278311357101,0.8020462382002148,1.0011453619474233,1.0046353313243777
5,"('Apgar saudável (>7)',)","('Inicio PN: 2.0° mês',)",0.4228118725921103,0.9613818630475015,1.001486990792064,1.0369630038765283
6,"('Apgar saudável (>7)',)","('Médio',)",0.5261815616691085,0.9571611884315467,0.9970902459784621,0.9347966933339041
7,"('Apgar saudável (>7)',)","('Negra',)",0.6166910847034565,0.9603684299476086,1.000431281188428,1.0104464514516047
8,"('Apgar saudável (>7)',)","('Ocupação: 0',)",0.959954419664659,0.959954419664659,1.0,0.999999975028456
9,"('Ocupação: 0',)","('Apgar saudável (>7)',)",0.959954419664659,1.0,1.0,0.0
10,"('Apgar saudável (>7)',)","('Peso saudável (>2500)',)",0.8152911172608389,0.9706699399185994,1.011162530256055,1.3653425481863575
11,"('Peso saudável (>2500)',)","('Apgar saudável (>7)',)",0.8152911172608389,0.8493019049234074,1.011162530256055,1.062215123488033
12,"('Apgar saudável (>7)',)","('Risco: Presença de anomalias',)",0.959954419664659,0.959954419664659,1.0,0.999999975028456
13,"('Risco: Presença de anomalias',)","('Apgar saudável (>7)',)",0.959954419664659,1.0,1.0,0.0
14,"('Apgar saudável (>7)',)","('Semana de gestação saudável (>37)',)",0.8461663682239948,0.9683308494783904,1.0087258620223423,1.2644980497193221
15,"('Semana de gestação saudável (>37)',)","('Apgar saudável (>7)',)",0.8461663682239948,0.8814651517720875,1.0087258620223423,1.0643271372872298
16,"('Apgar saudável (>7)',)","('Solteira',)",0.47946171794454395,0.9593919652551575,0.9994140821710077,0.9861491599092436
17,"('Apgar saudável (>7)',)","('Vaginal',)",0.3283954636713875,0.9666187509982431,1.0069423414248275,1.1996429232947652
18,"('Consultas: 7+',)","('Branca',)",0.3052797221770036,0.8530705079605762,1.0648358433490557,1.3535154853076958
19,"('Ocupação: 0',)","('Branca',)",0.3578598947311303,1.0,1.0,0.0
20,"('Peso saudável (>2500)',)","('Branca',)",0.30169841011449344,0.8430629264594389,1.0037345223671426,1.019987133072482
21,"('Risco: Presença de anomalias',)","('Branca',)",0.3578598947311303,1.0,1.0,0.0
22,"('Semana de gestação saudável (>37)',)","('Branca',)",0.31076021487872374,0.868385140257771,0.9937574360289656,0.9585532821753675
23,"('Consultas: 7+',)","('Casada',)",0.2799934885235227,0.8771035186129525,1.0948347835625916,1.6182020853204608
24,"('Ocupação: 0',)","('Casada',)",0.31922513429920235,1.0,1.0,0.0
25,"('Peso saudável (>2500)',)","('Casada',)",0.26697053556894024,0.8363080061193269,0.9956922439933505,0.9778963036652988
26,"('Risco: Presença de anomalias',)","('Casada',)",0.31922513429920235,1.0,1.0,0.0
