,rhs,lhs,supp,conf,lift,conv
0,"('Apgar saudável (>7)',)","('Branca',)",0.2948869303262839,0.995567619571193,1.000823424564939,1.1847989347952752
1,"('Apgar saudável (>7)',)","('Cesáreo',)",0.5722638360235299,0.996085065677009,1.0013436023745326,1.3413965652553486
2,"('Apgar saudável (>7)',)","('Consultas: 7+',)",0.8166612387795396,0.9947931840299515,1.0000449006201528,1.0085779518783469
3,"('Consultas: 7+',)","('Apgar saudável (>7)',)",0.8166612387795396,0.8209725604141516,1.0000449006201528,1.0002058875550595
4,"('Apgar saudável (>7)',)","('Inicio PN: 2.0° mês',)",0.4470017708481752,0.9946217079191105,0.9998725192518668,0.9764214624370008
5,"('Apgar saudável (>7)',)","('Médio',)",0.5733426285900385,0.994667843743103,0.999918898636306,0.9848698270600083
6,"('Apgar saudável (>7)',)","('Negra',)",0.6998615888782592,0.9944037944298233,0.9996534553527201,0.938400098281411
7,"('Apgar saudável (>7)',)","('Ocupação: 0',)",0.9947485192045431,0.9947485192045431,1.0,0.9999998095775555
8,"('Ocupação: 0',)","('Apgar saudável (>7)',)",0.9947485192045431,1.0,1.0,0.0
9,"('Apgar saudável (>7)',)","('Peso saudável (>2500)',)",0.9271407926072177,0.9949107191612516,1.0001630562434394,1.0318706964651834
10,"('Peso saudável (>2500)',)","('Apgar saudável (>7)',)",0.9271407926072177,0.9320353583925027,1.0001630562434394,1.0022356978888285
11,"('Apgar saudável (>7)',)","('Sem anomalias',)",0.9947485192045431,0.9947485192045431,1.0,0.9999998095775555
12,"('Sem anomalias',)","('Apgar saudável (>7)',)",0.9947485192045431,1.0,1.0,0.0
13,"('Apgar saudável (>7)',)","('Semana de gestação saudável (>37)',)",0.9848511062712451,0.9947522615131579,1.0000037620650268,1.0007129371845065
14,"('Semana de gestação saudável (>37)',)","('Apgar saudável (>7)',)",0.9848511062712451,0.9900503366004378,1.0000037620650268,1.0003742457619107
15,"('Apgar saudável (>7)',)","('União',)",0.9049390380427039,0.9947698159646473,1.0000214091900546,1.0040717030009951
16,"('União',)","('Apgar saudável (>7)',)",0.9049390380427039,0.9097163962268011,1.0000214091900546,1.000215707761213
17,"('Apgar saudável (>7)',)","('Vaginal',)",0.42248468318101323,0.9929438497877175,0.9981858033643831,0.7442415330209741
18,"('Consultas: 7+',)","('Branca',)",0.26009078141220054,0.8780923584387026,1.0696237945969371,1.4688521272802268
19,"('Ocupação: 0',)","('Branca',)",0.2961998005251481,1.0,1.0,0.0
20,"('Peso saudável (>2500)',)","('Branca',)",0.2768578639907183,0.9346996976360638,1.0030221470029417,1.0431282475956911
21,"('Sem anomalias',)","('Branca',)",0.2961998005251481,1.0,1.0,0.0
22,"('Semana de gestação saudável (>37)',)","('Branca',)",0.29446966150338905,0.9941588785046729,1.0041536090060872,1.7040197371753136
23,"('União',)","('Branca',)",0.2572360520262981,0.8684545079714129,0.95466356820781,0.6864779443856304
24,"('Consultas: 7+',)","('Cesáreo',)",0.4877516334547823,0.8489827370882455,1.0341647186251133,1.1857207280123527
25,"('Ocupação: 0',)","('Cesáreo',)",0.5745130167518167,1.0,1.0,0.0
26,"('Peso saudável (>2500)',)","('Cesáreo',)",0.5268527753465366,0.9170423645494725,0.9840741402927108,0.8211009128268953
27,"('Sem anomalias',)","('Cesáreo',)",0.5745130167518167,1.0,1.0,0.0
28,"('Semana de gestação saudável (>37)',)","('Cesáreo',)",0.5691394084960003,0.9906466727486913,1.000606093451284,1.0641546786197211
29,"('União',)","('Cesáreo',)",0.5128488265586517,0.8926670268642439,0.9812795964158068,0.8413358557757126
30,"('Consultas: 7+',)","('Inicio PN: 2.0° mês',)",0.4036974088623827,0.898265359269911,1.0941969747301186,1.7601113746775918
31,"('Consultas: 7+',)","('Médio',)",0.4810549777117385,0.8345619068638269,1.0165983852005667,1.082364379515218
32,"('Consultas: 7+',)","('Negra',)",0.5608449184799202,0.7968808745698007,0.9706982832815273,0.8815728151992306
